Produto,CATEGORIAS,Qtde,Total Venda,Custo,Lucro,LUCRO/MENSAL,,,,,,,,PART %,PART ACC %,
AÉREO POP/VENEZA COR:FREIJO/BAUNILHA,,"13,00","R$ 3.815,60","R$ 2.080,00","R$ 1.735,60","R$ 289,27","16,69%",Q1 – Alto lucro / Alto giro,AÉREO POP/VENEZA COR:FREIJO/BAUNILHA,"6,85%","1,20","0,50","0,60","0,33%","10,49%",A
KIT FORNO/MICRO 70 CM FLORENÇA COR:ANGELIN/CINZA,,"5,00","R$ 3.893,96","R$ 2.192,50","R$ 1.701,46","R$ 283,58","15,52%",Q1 – Alto lucro / Alto giro,KIT FORNO/MICRO 70 CM FLORENÇA COR:ANGELIN/CINZA,"7,17%","0,00","0,00","0,00","0,32%","10,81%",A
BALCÃO PARA COOKTOP 80CM MDP POP C/ TAMPO COR:FREIJO/BAUNILHA,,"11,00","R$ 3.513,17","R$ 1.848,00","R$ 1.665,17","R$ 277,53","18,02%",Q1 – Alto lucro / Alto giro,BALCÃO PARA COOKTOP 80CM MDP POP C/ TAMPO COR:FREIJO/BAUNILHA,"7,48%","1,40","0,20","0,28","0,32%","11,13%",A
MULTIUSO BRIZ 2315A 2PTS COR:ANGELIN/ANGELIN/BOUCLE,,"17,00","R$ 4.666,41","R$ 3.018,69","R$ 1.647,72","R$ 274,62","10,92%",Q1 – Alto lucro / Alto giro,MULTIUSO BRIZ 2315A 2PTS COR:ANGELIN/ANGELIN/BOUCLE,"7,79%","0,40","0,40","0,16","0,31%","11,44%",A
COZINHA COMPACTA EVELYN COR:ANGELIN/DAMASCO,,"5,00","R$ 3.570,72","R$ 1.928,10","R$ 1.642,62","R$ 273,77","17,04%",Q1 – Alto lucro / Alto giro,,"8,10%","0,80","1,85","1,48","0,31%","11,76%",A
GUARDA ROUPA LYON PLUS 3PTS CORRER COR:ANGELIN/TITÂNIO/BOUCLE,,"3,00","R$ 3.656,99","R$ 2.077,65","R$ 1.579,34","R$ 263,22","15,20%",Q1 – Alto lucro / Alto giro,GUARDA ROUPA LYON PLUS 3PTS CORRER COR:ANGELIN/TITÂNIO/BOUCLE,"8,41%","0,55","0,30","0,17","0,30%","12,06%",A
ARMÁRIO MULTIUSO LONDRES C/ CHAVES COR:BRANCO,,"11,00","R$ 3.875,28","R$ 2.299,00","R$ 1.576,28","R$ 262,71","13,71%",Q1 – Alto lucro / Alto giro,,"8,72%","0,50","0,45","0,23","0,30%","12,36%",A
BALCÃO PARA PIA COPA COR:FREIJO/BAUNILHA,,"13,00","R$ 3.878,48","R$ 2.338,83","R$ 1.539,65","R$ 256,61","13,17%",Q1 – Alto lucro / Alto giro,BALCÃO PARA PIA COPA COR:FREIJO/BAUNILHA,"9,03%","0,90","0,45","0,41","0,29%","12,65%",A
COLCHAO GAZIN ESPUMA SUPREME D28 TAMANHO:14 X 188 X 138,,"6,00","R$ 3.531,97","R$ 2.013,36","R$ 1.518,61","R$ 253,10","15,09%",Q1 – Alto lucro / Alto giro,COLCHAO GAZIN ESPUMA SUPREME D28 TAMANHO:14 X 188 X 138,"9,35%","0,70","0,40","0,28","0,29%","12,94%",A
COZINHA COMPACTA EVELYN COR:CARVALHO/OFF WHITE,,"5,00","R$ 3.444,07","R$ 1.928,10","R$ 1.515,97","R$ 252,66","15,73%",Q1 – Alto lucro / Alto giro,,"9,66%","1,23","0,50","0,62","0,29%","13,23%",A
"BALCÃO 1,19 PARA PIA POP (CONJUNTO POP) COR:FREIJO/BAUNILHA",,"9,00","R$ 3.517,52","R$ 2.029,68","R$ 1.487,84","R$ 247,97","14,66%",Q1 – Alto lucro / Alto giro,,"9,97%","0,80","0,50","0,40","0,28%","13,51%",A
BALCÃO 2 PORTAS 80 CM FLORENÇA COR:ANGELIN/CINZA,,"9,00","R$ 3.495,21","R$ 2.012,94","R$ 1.482,27","R$ 247,05","14,73%",Q1 – Alto lucro / Alto giro,BALCÃO 2 PORTAS 80 CM FLORENÇA COR:ANGELIN/CINZA,"10,28%","0,90","0,20","0,18","0,28%","13,80%",A
COMODA GRECIA MOPAR COR:FREIJO/GRAFITE,,"6,00","R$ 3.263,00","R$ 1.780,80","R$ 1.482,20","R$ 247,03","16,65%",Q1 – Alto lucro / Alto giro,COMODA GRECIA MOPAR COR:FREIJO/GRAFITE,"10,59%","0,45","0,40","0,18","0,28%","14,08%",A
"AEREO 1,60 M 1º LINHA JK COR:BRANCO",,"7,00","R$ 3.142,56","R$ 1.666,00","R$ 1.476,56","R$ 246,09","17,73%",Q1 – Alto lucro / Alto giro,"AEREO 1,60 M 1º LINHA JK COR:BRANCO","10,90%","1,60","0,20","0,32","0,28%","14,36%",A
"PIA DE MARMORITE 1,20 COR:BEGE",,"18,00","R$ 3.602,57","R$ 2.160,00","R$ 1.442,57","R$ 240,43","13,36%",Q1 – Alto lucro / Alto giro,"PIA DE MARMORITE 1,20 COR:BEGE","11,21%","0,40","0,40","0,16","0,27%","14,64%",A
BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X198X79,,"10,00","R$ 2.884,15","R$ 1.450,00","R$ 1.434,15","R$ 239,03","19,78%",Q1 – Alto lucro / Alto giro,BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X198X79,"11,53%","1,55","0,45","0,70","0,27%","14,91%",A
BALCÃO PARA PIA COPA COR:BRANCO,,"13,00","R$ 3.761,18","R$ 2.338,83","R$ 1.422,35","R$ 237,06","12,16%",Q1 – Alto lucro / Alto giro,,"11,84%","1,20","0,30","0,36","0,27%","15,18%",A
AÉREO POP/VENEZA COR:FREIJO/CHUMBO,,"11,00","R$ 3.137,41","R$ 1.760,00","R$ 1.377,41","R$ 229,57","15,65%",Q1 – Alto lucro / Alto giro,AÉREO POP/VENEZA COR:FREIJO/CHUMBO,"12,15%","1,60","0,20","0,32","0,26%","15,44%",A
"PIA GRANITO 1,20 PIABELLE VERDE UBATUBA",,"7,00","R$ 3.624,38","R$ 2.275,00","R$ 1.349,38","R$ 224,90","11,86%",Q1 – Alto lucro / Alto giro,"PIA GRANITO 1,20 PIABELLE VERDE UBATUBA","12,46%","0,40","0,40","0,16","0,26%","15,70%",A
MESA PARA ESCRITÓRIO TURIM COR:AMENDOA,,"10,00","R$ 2.930,45","R$ 1.585,60","R$ 1.344,85","R$ 224,14","16,96%",Q1 – Alto lucro / Alto giro,MESA PARA ESCRITÓRIO TURIM COR:AMENDOA,"12,77%","0,55","0,30","0,17","0,26%","15,96%",A
BALCÃO PARA PIA GRECIA COR:BRANCO,,"8,00","R$ 2.928,45","R$ 1.585,92","R$ 1.342,53","R$ 223,76","16,93%",Q1 – Alto lucro / Alto giro,BALCÃO PARA PIA GRECIA COR:BRANCO,"13,08%","0,40","0,40","0,16","0,26%","16,21%",A
GUARDA ROUPA MALI NEW COR:CEDRO/BLANC/BOUCLE,,"3,00","R$ 2.890,00","R$ 1.553,73","R$ 1.336,27","R$ 222,71","17,20%",Q1 – Alto lucro / Alto giro,,"13,40%","0,70","0,50","0,35","0,25%","16,47%",A
"COLCHAO STRATUS AG 65 BORD. 0,88X20 D65",,"7,00","R$ 3.092,59","R$ 1.768,27","R$ 1.324,32","R$ 220,72","14,98%",Q1 – Alto lucro / Alto giro,"COLCHAO STRATUS AG 65 BORD. 0,88X20 D65","13,71%","1,86","0,50","0,93","0,25%","16,72%",A
MESA ZAMARCHI 120 C/ 6CAD (15) 150X84 COR:CANELA/SUEDE CACAU,,"3,00","R$ 3.337,76","R$ 2.016,00","R$ 1.321,76","R$ 220,29","13,11%",Q1 – Alto lucro / Alto giro,MESA ZAMARCHI 120 C/ 6CAD (15) 150X84 COR:CANELA/SUEDE CACAU,"14,02%","0,25","0,25","0,06","0,25%","16,97%",A
TAMPO MDP DACHERI COR:FREIJO,,"19,00","R$ 2.250,44","R$ 931,76","R$ 1.318,68","R$ 219,78","28,31%",Q1 – Alto lucro / Alto giro,TAMPO MDP DACHERI COR:FREIJO,"14,33%","0,40","0,40","0,16","0,25%","17,22%",A
BALCÃO PARA PIA JK 1º LINHA 3G BRANCO,,"8,00","R$ 3.191,16","R$ 1.888,00","R$ 1.303,16","R$ 217,19","13,80%",Q1 – Alto lucro / Alto giro,,"14,64%","1,20","0,30","0,36","0,25%","17,47%",A
BALCÃO PARA PIA GRECIA COR:NOGAL/BAUNILHA,,"7,00","R$ 2.689,00","R$ 1.387,68","R$ 1.301,32","R$ 216,89","18,76%",Q1 – Alto lucro / Alto giro,BALCÃO PARA PIA GRECIA COR:NOGAL/BAUNILHA,"14,95%","1,40","0,40","0,56","0,25%","17,72%",A
CADEIRA VENEZA TALISMA COR/MATERIAL:VELUDO CHOCOLATE/TABACO,,"21,00","R$ 2.835,05","R$ 1.558,20","R$ 1.276,85","R$ 212,81","16,39%",Q1 – Alto lucro / Alto giro,CADEIRA VENEZA TALISMA COR/MATERIAL:VELUDO CHOCOLATE/TABACO,"15,26%","0,80","0,50","0,40","0,24%","17,96%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE FLASH TAMANHO:22X188X138,,"4,00","R$ 2.907,66","R$ 1.640,00","R$ 1.267,66","R$ 211,28","15,46%",Q1 – Alto lucro / Alto giro,,"15,58%","1,60","0,40","0,64","0,24%","18,20%",A
BALCÃO PARA PIA GRECIA COR:FREIJO/CHUMBO,,"7,00","R$ 2.637,31","R$ 1.387,68","R$ 1.249,63","R$ 208,27","18,01%",Q1 – Alto lucro / Alto giro,,"15,89%","1,20","0,30","0,36","0,24%","18,44%",A
BALCÃO PARA COOKTOP 80CM MDP POP C/ TAMPO COR:FREIJO/CHUMBO,,"8,00","R$ 2.588,56","R$ 1.344,00","R$ 1.244,56","R$ 207,43","18,52%",Q1 – Alto lucro / Alto giro,BALCÃO PARA COOKTOP 80CM MDP POP C/ TAMPO COR:FREIJO/CHUMBO,"16,20%","1,80","0,50","0,90","0,24%","18,68%",A
"BALCÃO C/ TAMPO 1,60 0,50 COR:BRANCO",,"6,00","R$ 2.966,51","R$ 1.722,00","R$ 1.244,51","R$ 207,42","14,45%",Q1 – Alto lucro / Alto giro,"BALCÃO C/ TAMPO 1,60 0,50 COR:BRANCO","16,51%","0,40","0,40","0,16","0,24%","18,92%",A
PANELEIRO 45 MDP POP COR:FREIJO/BAUNILHA,,"6,00","R$ 2.451,92","R$ 1.211,10","R$ 1.240,82","R$ 206,80","20,49%",Q1 – Alto lucro / Alto giro,PANELEIRO 45 MDP POP COR:FREIJO/BAUNILHA,"16,82%","0,40","0,40","0,16","0,24%","19,15%",A
COZINHA COMPACTA TOKYO COR:FREIJO/CHUMBO,,"3,00","R$ 2.997,00","R$ 1.762,47","R$ 1.234,53","R$ 205,76","14,01%",Q1 – Alto lucro / Alto giro,COZINHA COMPACTA TOKYO COR:FREIJO/CHUMBO,"17,13%","1,70","1,34","2,28","0,24%","19,39%",A
COMODA TEXAS MOPAR COR:FREIJO/GRAFITE,,"4,00","R$ 2.782,00","R$ 1.548,80","R$ 1.233,20","R$ 205,53","15,92%",Q1 – Alto lucro / Alto giro,COMODA TEXAS MOPAR COR:FREIJO/GRAFITE,"17,45%","1,40","0,36","0,50","0,24%","19,62%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE EXCEL CRISTALFLEX TAMANHO:22X198X156,,"3,00","R$ 2.961,31","R$ 1.737,00","R$ 1.224,31","R$ 204,05","14,10%",Q1 – Alto lucro / Alto giro,,"17,76%","1,20","0,50","0,60","0,23%","19,86%",A
TORRE KIT 2 FORNOS 70 MDP POP COR:FREIJO/BAUNILHA,,"6,00","R$ 3.122,67","R$ 1.911,96","R$ 1.210,71","R$ 201,79","12,66%",Q1 – Alto lucro / Alto giro,TORRE KIT 2 FORNOS 70 MDP POP COR:FREIJO/BAUNILHA,"18,07%","0,40","0,40","0,16","0,23%","20,09%",A
COLCHÃO MOLA POCKET 1P VENNTI 188X88X25CM,,"6,00","R$ 2.908,98","R$ 1.715,46","R$ 1.193,52","R$ 198,92","13,91%",Q1 – Alto lucro / Alto giro,COLCHÃO MOLA POCKET 1P VENNTI 188X88X25CM,"18,38%","0,50","0,50","0,25","0,23%","20,32%",A
MULTIUSO OPEN COR:BRANCO,,"18,00","R$ 4.054,50","R$ 2.862,00","R$ 1.192,50","R$ 198,75","8,33%",Q1 – Alto lucro / Alto giro,MULTIUSO OPEN COR:BRANCO,"18,69%","0,40","0,40","0,16","0,23%","20,54%",A
BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X188X138,,"6,00","R$ 2.319,79","R$ 1.134,00","R$ 1.185,79","R$ 197,63","20,91%",Q1 – Alto lucro / Alto giro,BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X188X138,"19,00%","0,60","0,30","0,18","0,23%","20,77%",A
COZINHA COMPACTA YARA COR:AMENDOA/NUDE,,"5,00","R$ 2.715,79","R$ 1.557,15","R$ 1.158,64","R$ 193,11","14,88%",Q1 – Alto lucro / Alto giro,,"19,31%","0,70","0,40","0,28","0,22%","20,99%",A
COLCHÃO MOLA POCKET 1P VENNTI 188X138X25CM,,"3,00","R$ 2.613,47","R$ 1.462,05","R$ 1.151,42","R$ 191,90","15,75%",Q1 – Alto lucro / Alto giro,,"19,63%","1,60","0,50","0,80","0,22%","21,21%",A
INSTALAÇÃO DE AÉREO,,"36,00","R$ 1.151,64","R$ 1,00","R$ 1.150,64","R$ 191,77","23012,80%",Q1 – Alto lucro / Alto giro,,"19,94%","0,00","0,00","0,00","0,22%","21,43%",A
"MESA SECRETARIA 1,36MT COR:FREIJO/PRETO FOSCO",,"7,00","R$ 2.403,83","R$ 1.262,17","R$ 1.141,66","R$ 190,28","18,09%",Q1 – Alto lucro / Alto giro,"MESA SECRETARIA 1,36MT COR:FREIJO/PRETO FOSCO","20,25%","0,00","0,00","0,00","0,22%","21,65%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE FLASH TAMANHO:22X188X88,,"6,00","R$ 2.994,00","R$ 1.885,26","R$ 1.108,74","R$ 184,79","11,76%",Q1 – Alto lucro / Alto giro,COLCHÃO MOLA ENSACADA INDIVIDUALMENTE FLASH TAMANHO:22X188X88,"20,56%","1,20","0,40","0,48","0,21%","21,86%",A
BELICHE MILÃO TORNEADO COR:TABACO;LARGURA:80,,"4,00","R$ 2.262,65","R$ 1.192,00","R$ 1.070,65","R$ 178,44","17,96%",Q1 – Alto lucro / Alto giro,BELICHE MILÃO TORNEADO COR:TABACO;LARGURA:80,"20,87%","0,00","0,00","0,00","0,20%","22,06%",A
MULTI USO 2312A 2PTS VERSATIL COR:ANGELIN,,"9,00","R$ 2.642,13","R$ 1.598,31","R$ 1.043,82","R$ 173,97","13,06%",Q1 – Alto lucro / Alto giro,MULTI USO 2312A 2PTS VERSATIL COR:ANGELIN,"21,18%","0,40","0,40","0,16","0,20%","22,26%",A
"BALCÃO 1,19 PARA PIA POP (CONJUNTO POP) COR:FREIJO/CHUMBO",,"8,00","R$ 2.847,54","R$ 1.804,16","R$ 1.043,38","R$ 173,90","11,57%",Q1 – Alto lucro / Alto giro,"BALCÃO 1,19 PARA PIA POP (CONJUNTO POP) COR:FREIJO/CHUMBO","21,50%","1,40","0,20","0,28","0,20%","22,46%",A
ESTANTE AGNE COR:MARROM CRU,,"16,00","R$ 2.634,00","R$ 1.600,00","R$ 1.034,00","R$ 172,33","12,93%",Q1 – Alto lucro / Alto giro,ESTANTE AGNE COR:MARROM CRU,"21,81%","1,20","0,40","0,48","0,20%","22,66%",A
BALCÃO PARA PIA JK 1º LINHA 3G OLMO,,"6,00","R$ 2.429,00","R$ 1.416,00","R$ 1.013,00","R$ 168,83","14,31%",Q1 – Alto lucro / Alto giro,,"22,12%","1,20","0,50","0,60","0,19%","22,85%",A
"BALCÃO C/ TAMPO 1,60 0,50 COR:PRETO",,"5,00","R$ 2.447,00","R$ 1.435,00","R$ 1.012,00","R$ 168,67","14,10%",Q1 – Alto lucro / Alto giro,"BALCÃO C/ TAMPO 1,60 0,50 COR:PRETO","22,43%","0,40","0,40","0,16","0,19%","23,04%",A
"PIA DE MARMORITE 1,60 COR:PRETA",,"9,00","R$ 2.703,43","R$ 1.692,00","R$ 1.011,43","R$ 168,57","11,96%",Q1 – Alto lucro / Alto giro,"PIA DE MARMORITE 1,60 COR:PRETA","22,74%","0,40","0,40","0,16","0,19%","23,24%",A
GUARDA ROUPA TOQUIO 4 PTS 2 GVTS SOLUTION COR:BRANCO BOUCLE,,"4,00","R$ 2.436,03","R$ 1.430,08","R$ 1.005,95","R$ 167,66","14,07%",Q1 – Alto lucro / Alto giro,GUARDA ROUPA TOQUIO 4 PTS 2 GVTS SOLUTION COR:BRANCO BOUCLE,"23,05%","1,20","0,50","0,60","0,19%","23,43%",A
GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:FREIJO/GRAFITE,,"4,00","R$ 2.274,12","R$ 1.292,80","R$ 981,32","R$ 163,55","15,18%",Q1 – Alto lucro / Alto giro,,"23,36%","0,00","0,00","0,00","0,19%","23,61%",A
COMODA SAPATEIRA 1 PT 3 GAVTS 1 SP LILLE COR:BRANCO LINE/BRANCO LINE/BOUCLE,,"6,00","R$ 2.673,00","R$ 1.699,80","R$ 973,20","R$ 162,20","11,45%",Q1 – Alto lucro / Alto giro,,"23,68%","0,00","0,00","0,00","0,19%","23,80%",A
BELICHE MILÃO TORNEADO COR:MARROM ESCURO;LARGURA:80,,"4,00","R$ 2.127,00","R$ 1.192,00","R$ 935,00","R$ 155,83","15,69%",Q1 – Alto lucro / Alto giro,BELICHE MILÃO TORNEADO COR:MARROM ESCURO;LARGURA:80,"23,99%","1,60","0,50","0,80","0,18%","23,98%",A
MESA REDONDA COM BANCOS PIZZA ESTOFADOS COR:FREIJO/PRETO FOSCO,,"3,00","R$ 2.179,79","R$ 1.262,88","R$ 916,91","R$ 152,82","14,52%",Q1 – Alto lucro / Alto giro,MESA REDONDA COM BANCOS PIZZA ESTOFADOS COR:FREIJO/PRETO FOSCO,"24,30%","1,38","1,88","2,59","0,17%","24,15%",A
COZINHA COMPACTA SOPHIA COR:ANGELIN/GRAFITE,,"4,00","R$ 2.270,16","R$ 1.363,24","R$ 906,92","R$ 151,15","13,31%",Q1 – Alto lucro / Alto giro,,"24,61%","0,60","0,50","0,30","0,17%","24,33%",A
AÉREO 3 PORTAS 120CM FLORENÇA COR:ANGELIN,,"5,00","R$ 1.934,08","R$ 1.033,80","R$ 900,28","R$ 150,05","17,42%",Q1 – Alto lucro / Alto giro,AÉREO 3 PORTAS 120CM FLORENÇA COR:ANGELIN,"24,92%","1,38","1,88","2,59","0,17%","24,50%",A
BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X188X88,,"7,00","R$ 1.978,25","R$ 1.113,00","R$ 865,25","R$ 144,21","15,55%",Q1 – Alto lucro / Alto giro,,"25,23%","0,71","0,36","0,26","0,16%","24,66%",A
ESTANTE AGNE COR:VARIADA,,"9,00","R$ 1.755,81","R$ 900,00","R$ 855,81","R$ 142,64","19,02%",Q1 – Alto lucro / Alto giro,,"25,55%","0,00","0,00","0,00","0,16%","24,83%",A
COMODA CAMARIM BELLA BRANCO,,"3,00","R$ 2.027,00","R$ 1.184,43","R$ 842,57","R$ 140,43","14,23%",Q1 – Alto lucro / Alto giro,,"25,86%","1,60","0,50","0,80","0,16%","24,99%",A
GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:BRANCO,,"4,00","R$ 2.135,26","R$ 1.292,80","R$ 842,46","R$ 140,41","13,03%",Q1 – Alto lucro / Alto giro,GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:BRANCO,"26,17%","0,83","0,40","0,33","0,16%","25,15%",A
GUARDA ROUPA MONZA 4 PORTAS E 2 GAVETAS COR:BRANCO,,"3,00","R$ 2.183,00","R$ 1.357,80","R$ 825,20","R$ 137,53","12,15%",Q1 – Alto lucro / Alto giro,GUARDA ROUPA MONZA 4 PORTAS E 2 GAVETAS COR:BRANCO,"26,48%","0,35","0,40","0,14","0,16%","25,30%",A
MESA POP CABERNET 120X90 TALISMA COR:CABERNET/TABACO,,"6,00","R$ 1.852,06","R$ 1.030,32","R$ 821,74","R$ 136,96","15,95%",Q1 – Alto lucro / Alto giro,MESA POP CABERNET 120X90 TALISMA COR:CABERNET/TABACO,"26,79%","0,00","0,00","0,00","0,16%","25,46%",A
BANCADA NT 1315 COR:FREIJO/PRETO TX,,"4,00","R$ 1.951,73","R$ 1.140,00","R$ 811,73","R$ 135,29","14,24%",Q1 – Alto lucro / Alto giro,BANCADA NT 1315 COR:FREIJO/PRETO TX,"27,10%","1,80","0,50","0,90","0,15%","25,62%",A
BALCÃO PARA PIA COPA COR:NOGAL/BAUNILHA,,"7,00","R$ 2.054,00","R$ 1.259,37","R$ 794,63","R$ 132,44","12,62%",Q1 – Alto lucro / Alto giro,BALCÃO PARA PIA COPA COR:NOGAL/BAUNILHA,"27,41%","1,20","0,30","0,36","0,15%","25,77%",A
CADEIRA POP TALISMA COR/MATERIAL:ANIMALE BEGE/TABACO,,"16,00","R$ 1.969,08","R$ 1.187,20","R$ 781,88","R$ 130,31","13,17%",Q1 – Alto lucro / Alto giro,CADEIRA POP TALISMA COR/MATERIAL:ANIMALE BEGE/TABACO,"27,73%","1,40","1,40","1,96","0,15%","25,92%",A
"ARMÁRIO AÉREO 3PTS 1,20 JK COR:BRANCO",,"5,00","R$ 1.691,80","R$ 910,00","R$ 781,80","R$ 130,30","17,18%",Q1 – Alto lucro / Alto giro,"ARMÁRIO AÉREO 3PTS 1,20 JK COR:BRANCO","28,04%","0,71","0,36","0,26","0,15%","26,07%",A
GUARDA ROUPA TOQUIO 4 PTS 2 GVTS SOLUTION COR:MACADAMIA/BLANC/BOUCLE,,"3,00","R$ 1.847,00","R$ 1.072,56","R$ 774,44","R$ 129,07","14,44%",Q1 – Alto lucro / Alto giro,,"28,35%","0,00","0,00","0,00","0,15%","26,21%",A
TORRE KIT 2 FORNOS 70 MDP POP COR:FREIJO/CHUMBO,,"4,00","R$ 2.037,35","R$ 1.274,64","R$ 762,71","R$ 127,12","11,97%",Q1 – Alto lucro / Alto giro,TORRE KIT 2 FORNOS 70 MDP POP COR:FREIJO/CHUMBO,"28,66%","0,40","0,40","0,16","0,15%","26,36%",A
COLCHÃO DREAM GAZIN TAMANHO:188X88,,"8,00","R$ 1.899,64","R$ 1.152,00","R$ 747,64","R$ 124,61","12,98%",Q1 – Alto lucro / Alto giro,,"28,97%","0,90","0,90","0,81","0,14%","26,50%",A
AÉREO 3 PORTAS 120CM FLORENÇA COR:CANARY,,"4,00","R$ 1.570,70","R$ 827,04","R$ 743,66","R$ 123,94","17,98%",Q1 – Alto lucro / Alto giro,AÉREO 3 PORTAS 120CM FLORENÇA COR:CANARY,"29,28%","0,00","0,00","0,00","0,14%","26,64%",A
"BALCÃO C/ TAMPO 1,20 0,40 COR:BRANCO",,"5,00","R$ 1.743,00","R$ 1.010,00","R$ 733,00","R$ 122,17","14,51%",Q1 – Alto lucro / Alto giro,"BALCÃO C/ TAMPO 1,20 0,40 COR:BRANCO","29,60%","0,90","0,20","0,18","0,14%","26,78%",A
"PIA INOX 1,20X53 INFINITY COM FURO",,"5,00","R$ 1.673,06","R$ 945,00","R$ 728,06","R$ 121,34","15,41%",Q1 – Alto lucro / Alto giro,"PIA INOX 1,20X53 INFINITY COM FURO","29,91%","0,40","0,40","0,16","0,14%","26,92%",A
KIT 1 FORNOS 70 MDP VENEZA COR:BRANCO,,"5,00","R$ 1.943,88","R$ 1.228,65","R$ 715,23","R$ 119,21","11,64%",Q1 – Alto lucro / Alto giro,,"30,22%","0,80","1,85","1,48","0,14%","27,06%",A
GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:FREIJO/OFFWHITE,,"4,00","R$ 1.984,96","R$ 1.292,80","R$ 692,16","R$ 115,36","10,71%",Q1 – Alto lucro / Alto giro,GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:FREIJO/OFFWHITE,"30,53%","0,00","0,00","0,00","0,13%","27,19%",A
MESA PARA 6 CAD TALISMA COR:CARVALHO/CASTELLI,,"4,00","R$ 1.452,51","R$ 763,20","R$ 689,31","R$ 114,89","18,06%",Q1 – Alto lucro / Alto giro,,"30,84%","0,00","0,00","0,00","0,13%","27,32%",A
BALCÃO PARA PIA 3G INT. CRU PÉS SIMPLES COR:OLMO,,"5,00","R$ 1.572,59","R$ 905,00","R$ 667,59","R$ 111,27","14,75%",Q1 – Alto lucro / Alto giro,,"31,15%","0,40","0,40","0,16","0,13%","27,45%",A
"BALCÃO PARA PIA 3G 1,00M INT. CRU CORR, METAL COR:BRANCO",,"6,00","R$ 1.729,37","R$ 1.074,00","R$ 655,37","R$ 109,23","12,20%",Q1 – Alto lucro / Alto giro,"BALCÃO PARA PIA 3G 1,00M INT. CRU CORR, METAL COR:BRANCO","31,46%","1,20","0,30","0,36","0,12%","27,57%",A
APARADOR CAIRO COR:FREIJO/BRANCO,,"6,00","R$ 1.483,77","R$ 837,72","R$ 646,05","R$ 107,68","15,42%",Q1 – Alto lucro / Alto giro,APARADOR CAIRO COR:FREIJO/BRANCO,"31,78%","1,55","0,45","0,70","0,12%","27,70%",A
mesa 1m x 1m onix c/vidro serigrado ffendi base tempranillo TALISMA,,"3,00","R$ 1.470,40","R$ 828,00","R$ 642,40","R$ 107,07","15,52%",Q1 – Alto lucro / Alto giro,mesa 1m x 1m onix c/vidro serigrado ffendi base tempranillo TALISMA,"32,09%","1,11","0,43","0,48","0,12%","27,82%",A
KIT 1 FORNOS 70 MDP VENEZA COR:FREIJO/CHUMBO,,"4,00","R$ 1.622,00","R$ 982,92","R$ 639,08","R$ 106,51","13,00%",Q1 – Alto lucro / Alto giro,KIT 1 FORNOS 70 MDP VENEZA COR:FREIJO/CHUMBO,"32,40%","0,60","0,50","0,30","0,12%","27,94%",A
APARADOR CAIRO COR:PRETO,,"5,00","R$ 1.337,00","R$ 698,10","R$ 638,90","R$ 106,48","18,30%",Q1 – Alto lucro / Alto giro,APARADOR CAIRO COR:PRETO,"32,71%","1,38","1,88","2,59","0,12%","28,06%",A
"PIA DE MARMORITE 1,20 COR:BRANCA",,"8,00","R$ 1.597,98","R$ 960,00","R$ 637,98","R$ 106,33","13,29%",Q1 – Alto lucro / Alto giro,"PIA DE MARMORITE 1,20 COR:BRANCA","33,02%","0,40","0,40","0,16","0,12%","28,18%",A
MULTIUSO CAIRO PARA FORNO COR:BRANCO,,"5,00","R$ 1.595,66","R$ 961,10","R$ 634,56","R$ 105,76","13,20%",Q1 – Alto lucro / Alto giro,MULTIUSO CAIRO PARA FORNO COR:BRANCO,"33,33%","0,40","0,40","0,16","0,12%","28,30%",A
TORRE QUENTE 2 FORNOS JK COR:BRANCO,,"3,00","R$ 1.461,75","R$ 831,00","R$ 630,75","R$ 105,13","15,18%",Q1 – Alto lucro / Alto giro,TORRE QUENTE 2 FORNOS JK COR:BRANCO,"33,64%","0,40","0,40","0,16","0,12%","28,42%",A
COLCHÃO NUVOLE TAMANHO:188X78,,"11,00","R$ 2.060,03","R$ 1.437,48","R$ 622,55","R$ 103,76","8,66%",Q1 – Alto lucro / Alto giro,COLCHÃO NUVOLE TAMANHO:188X78,"33,96%","0,35","0,40","0,14","0,12%","28,54%",A
TAMPO MDP DACHERI COR:BRANCO BRILHO,,"8,00","R$ 1.013,81","R$ 392,32","R$ 621,49","R$ 103,58","31,68%",Q1 – Alto lucro / Alto giro,TAMPO MDP DACHERI COR:BRANCO BRILHO,"34,27%","0,40","0,40","0,16","0,12%","28,66%",A
