Produto,CATEGORIAS,Qtde,Total Venda,Custo,Lucro,LUCRO/MENSAL,,,,,,,,PART %,PART ACC %,
Armario Multiuso Aramoveis New 2pt,SALVADOS,"13,00","R$ 2.384,91","R$ 799,24","R$ 1.585,67","R$ 317,13",,,,,,,,"0,49%","6,96%",A
Armario Multiuso Atualle Seul 3pt 2gv,SALVADOS,"3,00","R$ 1.286,00","R$ 472,56","R$ 813,44","R$ 162,69",,,,,,,,"0,25%","7,21%",A
ARMARIO MULTIUSO FAIMEC CHILE 2PT salvados,SALVADOS,"1,00","R$ 179,04","R$ 43,36","R$ 135,68","R$ 27,14",,,,,,,,"0,04%","7,25%",A
ARMARIO MULTIUSO JADE 995440 COR:BRANCO AB,SALVADOS,"5,00","R$ 1.931,00","R$ 1.211,65","R$ 719,35","R$ 143,87",,,,,,,,"0,22%","7,48%",A
ARMÁRIO MULTIUSO LONDRES C/ CHAVES COR:BRANCO,,"11,00","R$ 3.875,28","R$ 2.299,00","R$ 1.576,28","R$ 315,26",,,,,,,,"0,49%","7,96%",A
ARMÁRIO MULTIUSO LONDRES C/ CHAVES COR:FREIJÓ,,"3,00","R$ 1.027,85","R$ 627,00","R$ 400,85","R$ 80,17",,,,,,,,"0,12%","8,09%",A
ARMÁRIO MULTIUSO LONDRES C/ CHAVES COR:PRETO,,"2,00","R$ 613,55","R$ 418,00","R$ 195,55","R$ 39,11",,,,,,,,"0,06%","8,15%",A
ARMARIO MULTIUSO NOTAVEL NT 4015 2PT NT4015.448459 Branco New,SALVADOS,"1,00","R$ 349,00","R$ 75,23","R$ 273,77","R$ 54,75",,,,,,,,"0,08%","8,23%",A
ARMARIO MULTIUSO NOTAVEL NT4020 2PT C/CHAVE NT4020.490362 SALVADOS,SALVADOS,"1,00","R$ 269,00","R$ 66,04","R$ 202,96","R$ 40,59",,,,,,,,"0,06%","8,30%",A
"BALCÃO 1,19 PARA PIA POP (CONJUNTO POP) COR:FREIJO/BAUNILHA",,"9,00","R$ 3.517,52","R$ 2.029,68","R$ 1.487,84","R$ 297,57",,,,,,,,"0,46%","8,76%",A
"BALCÃO 1,19 PARA PIA POP (CONJUNTO POP) COR:FREIJO/CHUMBO",,"8,00","R$ 2.847,54","R$ 1.804,16","R$ 1.043,38","R$ 208,68",,,,,,,,"0,32%","9,08%",A
BALCÃO 2 PORTAS 80 CM FLORENÇA COR:ANGELIN,,"1,00","R$ 391,51","R$ 223,66","R$ 167,85","R$ 33,57",,,,,,,,"0,05%","9,13%",A
BALCÃO 2 PORTAS 80 CM FLORENÇA COR:ANGELIN/CINZA,,"9,00","R$ 3.495,21","R$ 2.012,94","R$ 1.482,27","R$ 296,45",,,,,,,,"0,46%","9,59%",A
BALCÃO 2 PORTAS 80 CM FLORENÇA COR:CANARY/OFF WHITE,,"2,00","R$ 770,81","R$ 447,32","R$ 323,49","R$ 64,70",,,,,,,,"0,10%","9,69%",A
Balcao Aramoveis Vitoria 3pt 1gv 120cm S/Tampo Salvados,SALVADOS,"1,00","R$ 180,00","R$ 79,51","R$ 100,49","R$ 20,10",,,,,,,,"0,03%","9,72%",A
"BALCÃO C/ TAMPO 1,20 0,40 COR:BRANCO",,"5,00","R$ 1.743,00","R$ 1.010,00","R$ 733,00","R$ 146,60",,,,,,,,"0,23%","9,95%",A
"BALCÃO C/ TAMPO 1,20 0,40 COR:LYON",,"2,00","R$ 684,00","R$ 404,00","R$ 280,00","R$ 56,00",,,,,,,,"0,09%","10,04%",A
"BALCÃO C/ TAMPO 1,20 0,40 COR:OLMO",,"2,00","R$ 661,63","R$ 404,00","R$ 257,63","R$ 51,53",,,,,,,,"0,08%","10,12%",A
"BALCÃO C/ TAMPO 1,20 0,40 COR:PRETO",,"3,00","R$ 1.009,00","R$ 606,00","R$ 403,00","R$ 80,60",,,,,,,,"0,12%","10,24%",A
"BALCÃO C/ TAMPO 1,20 0,50 COR:BRANCO",,"2,00","R$ 748,00","R$ 440,00","R$ 308,00","R$ 61,60",,,,,,,,"0,10%","10,34%",A
"BALCÃO C/ TAMPO 1,20 0,50 COR:OLMO",,"2,00","R$ 748,00","R$ 440,00","R$ 308,00","R$ 61,60",,,,,,,,"0,10%","10,43%",A
"BALCÃO C/ TAMPO 1,20 0,50 COR:PRETO",,"4,00","R$ 1.437,40","R$ 880,00","R$ 557,40","R$ 111,48",,,,,,,,"0,17%","10,60%",A
"BALCÃO C/ TAMPO 1,60 0,50 COR:BRANCO",,"6,00","R$ 2.966,51","R$ 1.722,00","R$ 1.244,51","R$ 248,90",,,,,,,,"0,39%","10,99%",A
"BALCÃO C/ TAMPO 1,60 0,50 COR:OLMO",,"3,00","R$ 1.471,69","R$ 861,00","R$ 610,69","R$ 122,14",,,,,,,,"0,19%","11,18%",A
"BALCÃO C/ TAMPO 1,60 0,50 COR:PRETO",,"5,00","R$ 2.447,00","R$ 1.435,00","R$ 1.012,00","R$ 202,40",,,,,,,,"0,31%","11,49%",A
Balcao Canto Indekes Star 1pt C/Tampo,SALVADOS,"1,00","R$ 349,00","R$ 92,90","R$ 256,10","R$ 51,22",,,,,,,,"0,08%","11,57%",A
BALCAO COOKTOP NOTAVEL NT 3110 1GV P/4BOCAS,SALVADOS,"1,00","R$ 280,66","R$ 53,00","R$ 227,66","R$ 45,53",,,,,,,,"0,07%","11,64%",A
BALCAO DE PIA LUCIANE ISIS 3PT 2GV 120CM S/TP ISI 0253/291 Avela Pf/Mocca UV,SALVADOS,"1,00","R$ 445,43","R$ 449,00","-R$ 3,57","-R$ 0,71",,,,,,,,"0,00%","11,64%",A
BALCÃO DUNA COR:BRANCO,,"5,00","R$ 1.077,00","R$ 641,65","R$ 435,35","R$ 87,07",,,,,,,,"0,13%","11,77%",A
BALCÃO INDEKES FIRENZI SALVADOS,SALVADOS,"1,00","R$ 544,45","R$ 226,12","R$ 318,33","R$ 63,67",,,,,,,,"0,10%","11,87%",A
Balcao Mgm Diva 2pt 80cm Cooktop salvados,SALVADOS,"1,00","R$ 314,00","R$ 107,14","R$ 206,86","R$ 41,37",,,,,,,,"0,06%","11,94%",A
BALCÃO P/ PIA DEMOBILE FIRENZE SALVADOS,SALVADOS,"1,00","R$ 399,00","R$ 399,00","R$ 0,00","R$ 0,00",,,,,,,,"0,00%","11,94%",A
BALCÃO PARA COOKTOP 1º LINHA JK COR:BRANCO,,"5,00","R$ 1.446,55","R$ 925,00","R$ 521,55","R$ 104,31",,,,,,,,"0,16%","12,10%",A
BALCÃO PARA COOKTOP 1º LINHA JK COR:LYON,,"2,00","R$ 584,00","R$ 370,00","R$ 214,00","R$ 42,80",,,,,,,,"0,07%","12,17%",A
BALCÃO PARA COOKTOP 1º LINHA JK COR:OLMO,,"2,00","R$ 583,12","R$ 354,00","R$ 229,12","R$ 45,82",,,,,,,,"0,07%","12,24%",A
BALCÃO PARA COOKTOP 1º LINHA JK COR:PRETO,,"4,00","R$ 1.177,00","R$ 740,00","R$ 437,00","R$ 87,40",,,,,,,,"0,14%","12,37%",A
BALCÃO PARA COOKTOP 80CM MDP POP C/ TAMPO COR:FREIJO/BAUNILHA,,"11,00","R$ 3.513,17","R$ 1.848,00","R$ 1.665,17","R$ 333,03",,,,,,,,"0,52%","12,89%",A
BALCÃO PARA COOKTOP 80CM MDP POP C/ TAMPO COR:FREIJO/CHUMBO,,"8,00","R$ 2.588,56","R$ 1.344,00","R$ 1.244,56","R$ 248,91",,,,,,,,"0,39%","13,27%",A
BALCAO PARA COOKTOP CATAR COR:BRANCO BRILHO,,"1,00","R$ 274,37","R$ 180,66","R$ 93,71","R$ 18,74",,,,,,,,"0,03%","13,30%",A
BALCÃO PARA COOKTOP FLÓRIDA COR:BRANCO,,"3,00","R$ 928,00","R$ 464,34","R$ 463,66","R$ 92,73",,,,,,,,"0,14%","13,45%",A
BALCÃO PARA COOKTOP FLÓRIDA COR:PRETO,,"3,00","R$ 897,00","R$ 464,34","R$ 432,66","R$ 86,53",,,,,,,,"0,13%","13,58%",A
BALCÃO PARA PIA JK 1º LINHA 3 G COR BRANCO,,"2,00","R$ 765,97","R$ 358,00","R$ 407,97","R$ 81,59",,,,,,,,"0,13%","13,71%",A
BALCÃO PARA PIA JK 1º LINHA 3G BRANCO,,"8,00","R$ 3.191,16","R$ 1.888,00","R$ 1.303,16","R$ 260,63",,,,,,,,"0,40%","14,11%",A
BALCÃO PARA PIA JK 1º LINHA 3G LYON,,"1,00","R$ 399,00","R$ 236,00","R$ 163,00","R$ 32,60",,,,,,,,"0,05%","14,16%",A
BALCÃO PARA PIA JK 1º LINHA 3G OLMO,,"6,00","R$ 2.429,00","R$ 1.416,00","R$ 1.013,00","R$ 202,60",,,,,,,,"0,31%","14,47%",A
BALCÃO PARA PIA JK 1º LINHA 3G PRETO,,"2,00","R$ 771,31","R$ 472,00","R$ 299,31","R$ 59,86",,,,,,,,"0,09%","14,57%",A
"BALCÃO PARA PIA 1,60 PERF. REG. PÉS COR:BRANCO",,"13,00","R$ 6.766,00","R$ 3.757,00","R$ 3.009,00","R$ 601,80",,,,,,,,"0,93%","15,50%",A
"BALCÃO PARA PIA 1,60 PERF. REG. PÉS COR:PRETO",,"1,00","R$ 510,22","R$ 289,00","R$ 221,22","R$ 44,24",,,,,,,,"0,07%","15,57%",A
BALCÃO PARA PIA 120CM FLORENÇA COR:ANGELIN/CINZA,,"8,00","R$ 4.674,93","R$ 2.564,88","R$ 2.110,05","R$ 422,01",,,,,,,,"0,65%","16,22%",A
BALCÃO PARA PIA 120CM FLORENÇA COR:CANARY/OFF WHITE,,"8,00","R$ 4.607,45","R$ 2.564,88","R$ 2.042,57","R$ 408,51",,,,,,,,"0,63%","16,85%",A
BALCÃO PARA PIA 1G JK COR:BRANCO,,"7,00","R$ 1.694,72","R$ 1.148,00","R$ 546,72","R$ 109,34",,,,,,,,"0,17%","17,02%",A
BALCÃO PARA PIA 1G JK COR:LYON,,"6,00","R$ 1.460,00","R$ 984,00","R$ 476,00","R$ 95,20",,,,,,,,"0,15%","17,17%",A
BALCÃO PARA PIA 1G JK COR:OLMO,,"5,00","R$ 1.277,53","R$ 820,00","R$ 457,53","R$ 91,51",,,,,,,,"0,14%","17,31%",A
BALCÃO PARA PIA 1G JK COR:PRETO,,"6,00","R$ 1.440,83","R$ 984,00","R$ 456,83","R$ 91,37",,,,,,,,"0,14%","17,45%",A
BALCÃO PARA PIA 1G JK COR:VERTI,,"3,00","R$ 734,22","R$ 492,00","R$ 242,22","R$ 48,44",,,,,,,,"0,08%","17,53%",A
BALCÃO PARA PIA 3 PORTAS 2 GVTS VOLLARE COR:BRANCO,,"2,00","R$ 974,00","R$ 483,14","R$ 490,86","R$ 98,17",,,,,,,,"0,15%","17,68%",A
"BALCÃO PARA PIA 3G 1,00M INT. CRU CORR, METAL COR:BRANCO",,"6,00","R$ 1.729,37","R$ 1.074,00","R$ 655,37","R$ 131,07",,,,,,,,"0,20%","17,88%",A
BALCÃO PARA PIA 3G INT. CRU PÉS SIMPLES COR:BRANCO,,"1,00","R$ 282,19","R$ 181,00","R$ 101,19","R$ 20,24",,,,,,,,"0,03%","17,91%",A
